model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GLM_1_AutoML_1_20250129_231734,0.0366098279454832,0.0013402795021978,0.0153461887214136,0.0281607980184537,0.0013402795021978
XRT_1_AutoML_1_20250129_231734,0.0381534899078488,0.0014556887921483,0.0180428194037561,0.0290090489907248,0.0014556887921483
GBM_4_AutoML_1_20250129_231734,0.0388275376642469,0.0015075776810685,0.0181728560068764,0.0290213278743422,0.0015075776810685
DRF_1_AutoML_1_20250129_231734,0.0394883840653148,0.0015593324760898,0.0180152087160537,0.0300169765038067,0.0015593324760898
GBM_2_AutoML_1_20250129_231734,0.0396901186399257,0.0015753055176513,0.0195298595915549,0.0297078018837764,0.0015753055176513
GBM_3_AutoML_1_20250129_231734,0.0401188283769322,0.0016095203903377,0.0197169764525846,0.0301028839939646,0.0016095203903377
GBM_grid_1_AutoML_1_20250129_231734_model_1,0.0406442805629215,0.0016519575424774,0.021610719603205,0.0305858637084901,0.0016519575424774
GBM_5_AutoML_1_20250129_231734,0.0429072318117003,0.0018410305417429,0.0189310001320325,0.032821640343447,0.0018410305417429
DeepLearning_1_AutoML_1_20250129_231734,0.0450541771038149,0.0020298788745019,0.0302351043145669,0.0333685353651137,0.0020298788745019
GBM_1_AutoML_1_20250129_231734,0.0884735165108684,0.0078275631237989,0.0703645032966961,0.061279191553784,0.0078275631237989
