model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_2_AutoML_1_20250129_232611,0.0504186823575327,0.0025420435306697,0.0204478401630485,0.036185323812434,0.0025420435306697
GBM_3_AutoML_1_20250129_232611,0.0507717223534806,0.0025777677907389,0.0202149474478349,0.0363946296887622,0.0025777677907389
DRF_1_AutoML_1_20250129_232611,0.0508813252691435,0.0025889092611443,0.0198507019721979,0.0363883579633102,0.0025889092611443
GBM_4_AutoML_1_20250129_232611,0.0510008297648335,0.0026010846367015,0.0197963141180148,0.0365056788679238,0.0026010846367015
XRT_1_AutoML_1_20250129_232611,0.0517127643554135,0.0026742099972785,0.0208966110985291,0.0368525382697412,0.0026742099972785
GBM_grid_1_AutoML_1_20250129_232611_model_1,0.0554161495667817,0.0030709496328079,0.0249324463073565,0.0388060757513659,0.0030709496328079
GBM_5_AutoML_1_20250129_232611,0.0559422424113281,0.0031295344860078,0.0211050148363025,0.0393447587875656,0.0031295344860078
GLM_1_AutoML_1_20250129_232611,0.0564638775704426,0.0031881694702899,0.021114462727055,0.0401609561983994,0.0031881694702899
DeepLearning_1_AutoML_1_20250129_232611,0.0644456746829336,0.0041532449853385,0.0290803701086424,0.0453936203457057,0.0041532449853385
GBM_1_AutoML_1_20250129_232611,0.1255817700925932,0.0157707809795889,0.073609515605677,0.0785349549103796,0.0157707809795889
