model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_5_AutoML_1_20250129_233222,0.0604966161330612,0.0036598405635509,0.0102765936987194,0.0410993715526277,0.0036598405635509
GBM_4_AutoML_1_20250129_233222,0.060552819639682,0.0036666439663158,0.0111500558397654,0.0412007352541896,0.0036666439663158
GLM_1_AutoML_1_20250129_233222,0.0654784833488,0.004287431781659,0.0084486785983878,0.0441154848211061,0.004287431781659
GBM_3_AutoML_1_20250129_233222,0.0667888562591767,0.0044607513204089,0.0128704790873341,0.0445118489710532,0.0044607513204089
GBM_2_AutoML_1_20250129_233222,0.0676576706021653,0.0045775603913111,0.0129001055251399,0.0449430908079888,0.0045775603913111
DRF_1_AutoML_1_20250129_233222,0.0706746305489831,0.0049949034032352,0.0118333908343246,0.0472208153081661,0.0049949034032352
DeepLearning_1_AutoML_1_20250129_233222,0.0791879052862032,0.0062707243436166,0.0183922758937567,0.0515779807077964,0.0062707243436166
GBM_grid_1_AutoML_1_20250129_233222_model_1,0.0859563388869557,0.0073884921948491,0.0222843786288844,0.0564911865197601,0.0073884921948491
XRT_1_AutoML_1_20250129_233222,0.4054582162248618,0.1643963651042468,0.3415894562494938,0.2983632805905132,0.1643963651042468
GBM_1_AutoML_1_20250129_233222,0.4661532351121037,0.2172988386054802,0.4345620426293422,0.3265622705628307,0.2172988386054802
