Date,Value,Day,Month,Year,DayOfYear,Value_RF,Value_LR,Value_Interp
2022-09-19,27.0,19,9,2022,262,,,27
2022-09-20,101.0,20,9,2022,263,,,101
2022-09-21,,21,9,2022,264,96.0,51.0,106
2022-09-22,112.0,22,9,2022,265,,,112
2022-09-23,119.0,23,9,2022,266,,,119
2022-09-24,,24,9,2022,267,78.0,50.0,89
2022-09-25,,25,9,2022,268,73.0,49.0,60
2022-09-26,,26,9,2022,269,62.0,49.0,30
2022-09-27,0.0,27,9,2022,270,,,0
2022-09-28,,28,9,2022,271,39.0,48.0,8
2022-09-29,,29,9,2022,272,41.0,48.0,16
2022-09-30,,30,9,2022,273,43.0,48.0,24
2022-10-01,,1,10,2022,274,83.0,77.0,31
2022-10-02,,2,10,2022,275,51.0,77.0,39
2022-10-03,47.0,3,10,2022,276,,,47
2022-10-04,,4,10,2022,277,45.0,76.0,41
2022-10-05,,5,10,2022,278,44.0,76.0,35
2022-10-06,,6,10,2022,279,43.0,76.0,30
2022-10-07,,7,10,2022,280,29.0,75.0,24
2022-10-08,,8,10,2022,281,31.0,75.0,18
2022-10-09,12.0,9,10,2022,282,,,12
2022-10-10,,10,10,2022,283,31.0,74.0,34
2022-10-11,,11,10,2022,284,62.0,74.0,56
2022-10-12,78.0,12,10,2022,285,,,78
2022-10-13,55.0,13,10,2022,286,,,55
2022-10-14,50.0,14,10,2022,287,,,50
2022-10-15,,15,10,2022,288,55.0,72.0,51
2022-10-16,,16,10,2022,289,57.0,72.0,52
2022-10-17,,17,10,2022,290,59.0,72.0,52
2022-10-18,,18,10,2022,291,60.0,71.0,53
2022-10-19,,19,10,2022,292,59.0,71.0,54
2022-10-20,,20,10,2022,293,68.0,70.0,54
2022-10-21,,21,10,2022,294,70.0,70.0,55
2022-10-22,,22,10,2022,295,72.0,70.0,56
2022-10-23,,23,10,2022,296,75.0,69.0,57
2022-10-24,,24,10,2022,297,73.0,69.0,58
2022-10-25,,25,10,2022,298,70.0,69.0,58
2022-10-26,59.0,26,10,2022,299,,,59
2022-10-27,,27,10,2022,300,61.0,68.0,63
2022-10-28,,28,10,2022,301,60.0,68.0,67
2022-10-29,,29,10,2022,302,65.0,67.0,72
2022-10-30,,30,10,2022,303,69.0,67.0,76
2022-10-31,80.0,31,10,2022,304,,,80
2022-11-01,,1,11,2022,305,65.0,46.0,75
2022-11-02,,2,11,2022,306,63.0,46.0,70
2022-11-03,,3,11,2022,307,62.0,46.0,65
2022-11-04,60.0,4,11,2022,308,,,60
2022-11-05,,5,11,2022,309,60.0,45.0,60
2022-11-06,,6,11,2022,310,60.0,45.0,60
2022-11-07,,7,11,2022,311,59.0,44.0,60
2022-11-08,,8,11,2022,312,56.0,44.0,60
2022-11-09,,9,11,2022,313,55.0,44.0,60
2022-11-10,,10,11,2022,314,51.0,43.0,61
2022-11-11,,11,11,2022,315,38.0,43.0,61
2022-11-12,,12,11,2022,316,33.0,43.0,61
2022-11-13,,13,11,2022,317,35.0,42.0,61
2022-11-14,,14,11,2022,318,44.0,42.0,61
2022-11-15,,15,11,2022,319,46.0,41.0,61
2022-11-16,,16,11,2022,320,48.0,41.0,61
2022-11-17,,17,11,2022,321,49.0,41.0,61
2022-11-18,,18,11,2022,322,50.0,40.0,61
2022-11-19,,19,11,2022,323,54.0,40.0,61
2022-11-20,,20,11,2022,324,55.0,40.0,61
2022-11-21,,21,11,2022,325,55.0,39.0,61
2022-11-22,,22,11,2022,326,52.0,39.0,62
2022-11-23,,23,11,2022,327,51.0,39.0,62
2022-11-24,,24,11,2022,328,41.0,38.0,62
2022-11-25,,25,11,2022,329,34.0,38.0,62
2022-11-26,,26,11,2022,330,26.0,37.0,62
2022-11-27,,27,11,2022,331,34.0,37.0,62
2022-11-28,,28,11,2022,332,40.0,37.0,62
2022-11-29,,29,11,2022,333,53.0,36.0,62
2022-11-30,,30,11,2022,334,46.0,36.0,62
2022-12-01,,1,12,2022,335,48.0,66.0,62
2022-12-02,,2,12,2022,336,41.0,65.0,62
2022-12-03,,3,12,2022,337,41.0,65.0,63
2022-12-04,,4,12,2022,338,41.0,65.0,63
2022-12-05,,5,12,2022,339,39.0,64.0,63
2022-12-06,,6,12,2022,340,40.0,64.0,63
2022-12-07,,7,12,2022,341,39.0,64.0,63
2022-12-08,,8,12,2022,342,39.0,63.0,63
2022-12-09,,9,12,2022,343,39.0,63.0,63
2022-12-10,,10,12,2022,344,39.0,62.0,63
2022-12-11,,11,12,2022,345,40.0,62.0,63
2022-12-12,,12,12,2022,346,40.0,62.0,63
2022-12-13,,13,12,2022,347,38.0,61.0,63
2022-12-14,,14,12,2022,348,38.0,61.0,63
2022-12-15,,15,12,2022,349,36.0,61.0,64
2022-12-16,,16,12,2022,350,39.0,60.0,64
2022-12-17,,17,12,2022,351,40.0,60.0,64
2022-12-18,,18,12,2022,352,52.0,60.0,64
2022-12-19,,19,12,2022,353,56.0,59.0,64
2022-12-20,64.0,20,12,2022,354,,,64
2022-12-21,,21,12,2022,355,58.0,59.0,61
2022-12-22,,22,12,2022,356,54.0,58.0,58
2022-12-23,55.0,23,12,2022,357,,,55
2022-12-24,,24,12,2022,358,52.0,57.0,53
2022-12-25,,25,12,2022,359,50.0,57.0,51
2022-12-26,,26,12,2022,360,49.0,57.0,48
2022-12-27,,27,12,2022,361,50.0,56.0,46
2022-12-28,,28,12,2022,362,51.0,56.0,44
2022-12-29,,29,12,2022,363,54.0,56.0,42
2022-12-30,,30,12,2022,364,52.0,55.0,40
2022-12-31,,31,12,2022,365,52.0,55.0,38
2023-01-01,,1,1,2023,1,63.0,72.0,35
2023-01-02,,2,1,2023,2,41.0,71.0,33
2023-01-03,31.0,3,1,2023,3,,,31
2023-01-04,,4,1,2023,4,37.0,71.0,33
2023-01-05,,5,1,2023,5,37.0,70.0,35
2023-01-06,,6,1,2023,6,42.0,70.0,37
2023-01-07,39.0,7,1,2023,7,,,39
2023-01-08,,8,1,2023,8,47.0,69.0,44
2023-01-09,,9,1,2023,9,53.0,69.0,50
2023-01-10,,10,1,2023,10,54.0,68.0,56
2023-01-11,,11,1,2023,11,62.0,68.0,61
2023-01-12,,12,1,2023,12,64.0,68.0,66
2023-01-13,72.0,13,1,2023,13,,,72
2023-01-14,,14,1,2023,14,66.0,67.0,69
2023-01-15,,15,1,2023,15,62.0,67.0,65
2023-01-16,62.0,16,1,2023,16,,,62
2023-01-17,46.0,17,1,2023,17,,,46
2023-01-18,64.0,18,1,2023,18,,,64
2023-01-19,58.0,19,1,2023,19,,,58
2023-01-20,,20,1,2023,20,53.0,65.0,44
2023-01-21,,21,1,2023,21,31.0,64.0,30
2023-01-22,16.0,22,1,2023,22,,,16
2023-01-23,45.0,23,1,2023,23,,,45
2023-01-24,,24,1,2023,24,45.0,63.0,55
2023-01-25,,25,1,2023,25,61.0,63.0,64
2023-01-26,,26,1,2023,26,72.0,63.0,74
2023-01-27,84.0,27,1,2023,27,,,84
2023-01-28,,28,1,2023,28,73.0,62.0,82
2023-01-29,,29,1,2023,29,74.0,62.0,80
